Number,Title,Description,Labels,Status,Repository,Assignees,CreatedAt,UpdatedAt,ClosedAt,URL,access-control,accessibility,accommodations,admin,advocacy,advocate,alerts,algorithm,analytics,articles,audio,audit,automation,behavior,cases,charts,checklist,cognitive,collaboration,communication,comparison,compliance,concerns,confirmation,consent,contrast,dashboard,data-retention,deadlines,detection,directory,documents,email,epic:accessibility,epic:file-mgmt,epic:legal-kb,epic:lineage,epic:meeting-prep,epic:mobile-advocate,epic:mobile-parent,epic:mobile-teacher,epic:notifications,epic:progress-viz,epic:security,epic:smart-prompts,escalation,exit,export,ferpa,goals,graphs,i18n,inactivity,knowledge-base,legal,letters,library,lineage,localization,logging,lre,media,meetings,messaging,mobile,nlp,notes,notifications,ocr,organization,parent,parent-input,pdf,placement,preferences,preparation,priority:critical,priority:high,priority:low,priority:medium,privacy,profile,progress,questions,readability,reminders,resources,screen-reader,security,services,settings,sharing,smart-prompts,state-regulations,students,summary,tagging,teacher,templates,text-size,text-to-speech,timeline,timelines,tracking,upload,viewer,vision,visualization,wcag
56,Mobile - integrate teacher functionalities,,,Todo,ASKIEP/iepapp,,2026-01-18T02:08:25Z,2026-01-18T02:08:25Z,,https://github.com/ASKIEP/iepapp/issues/56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Admin User management Creation,CRUD operations,,In Progress,ASKIEP/iepapp,,2026-01-18T10:46:35Z,2026-01-18T10:46:35Z,,https://github.com/ASKIEP/iepapp/issues/57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Role-Based Access Revocation,"**As an** admin **I want to** instantly revoke a user's access **So that** we can respond quickly to security concerns  ## Acceptance Criteria - [ ] Admin dashboard lists all users - [ ] ""Suspend"" and ""Revoke Access"" buttons per user - [ ] Confirm action with reason - [ ] User immediately logged out of all sessions - [ ] User cannot log back in - [ ] Email notification to user (optional, for non-malicious cases) - [ ] Audit log entry - [ ] Can reactivate user later - [ ] Bulk suspend option (e.g., former employees) - [ ] Shows users who haven't logged in recently  ## Related Requirements SC-05 from requirements.md  ## Story Points 8  **Estimate:** 8 story points",security;epic:security;priority:medium;admin;access-control,In Progress,ASKIEP/iepapp,Kathir-Kalidass,2026-01-27T06:03:10Z,2026-01-27T06:11:14Z,,https://github.com/ASKIEP/iepapp/issues/158,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
59,API Ui connection error on resourses and legal support pages,,,Done,ASKIEP/iepapp,,2026-01-18T10:48:56Z,2026-01-18T10:48:58Z,2026-01-18T10:48:58Z,https://github.com/ASKIEP/iepapp/issues/59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pagination of users list in admin side management,,,Todo,ASKIEP/iepapp,,2026-01-18T11:08:02Z,2026-01-18T11:08:02Z,,https://github.com/ASKIEP/iepapp/issues/62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Integrated goal progress tracking with real time API and UI updates,,,Done,ASKIEP/iepapp,,2026-01-18T11:09:58Z,2026-01-18T11:09:59Z,2026-01-18T11:09:59Z,https://github.com/ASKIEP/iepapp/issues/63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Enabled compliance tracking with backend integration and status views,,,Done,ASKIEP/iepapp,,2026-01-18T11:10:31Z,2026-01-18T11:10:33Z,2026-01-18T11:10:33Z,https://github.com/ASKIEP/iepapp/issues/64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,contact log module with backend and improved UI flow connection,,,Done,ASKIEP/iepapp,,2026-01-18T11:11:03Z,2026-01-18T11:11:05Z,2026-01-18T11:11:05Z,https://github.com/ASKIEP/iepapp/issues/65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,child profile management with full API driven UI,,,Done,ASKIEP/iepapp,,2026-01-18T11:11:25Z,2026-01-18T11:11:27Z,2026-01-18T11:11:27Z,https://github.com/ASKIEP/iepapp/issues/66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,complete behavior ABC logging with server validation,,,Done,ASKIEP/iepapp,,2026-01-18T11:11:50Z,2026-01-18T11:11:52Z,2026-01-18T11:11:52Z,https://github.com/ASKIEP/iepapp/issues/67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Advocacy lab insights integration between API and UI,,,Done,ASKIEP/iepapp,,2026-01-18T11:12:17Z,2026-01-18T11:12:19Z,2026-01-18T11:12:19Z,https://github.com/ASKIEP/iepapp/issues/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Letter writer templates and draft generation using APIs and its corresponding UI implementation,,,Done,ASKIEP/iepapp,,2026-01-18T11:12:54Z,2026-01-18T11:12:55Z,2026-01-18T11:12:55Z,https://github.com/ASKIEP/iepapp/issues/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Fixed backend issues for  legal services and Resources API UI connection,,,Done,ASKIEP/iepapp,,2026-01-18T11:13:35Z,2026-01-18T11:13:37Z,2026-01-18T11:13:37Z,https://github.com/ASKIEP/iepapp/issues/70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Improve in admin user management UX including bulk actions and safeguards,,,In Progress,ASKIEP/iepapp,,2026-01-18T11:14:17Z,2026-01-18T11:14:17Z,,https://github.com/ASKIEP/iepapp/issues/71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"API for admin user management on creation, edit, delete functionalities",,,Done,ASKIEP/iepapp,,2026-01-18T11:15:42Z,2026-01-18T11:15:44Z,2026-01-18T11:15:44Z,https://github.com/ASKIEP/iepapp/issues/72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
